order_id,payment_sequential,payment_type,payment_installments,payment_value
Axfy13Hk4PIk,1,credit_card,1,259.14
v6px92oS8cLG,1,credit_card,8,382.39
Ulpf9skrhjfm,1,credit_card,4,249.25
bwJVWupf2keN,1,credit_card,2,27.79
Dd0QnrMk9Cj5,1,credit_card,1,76.15
VjTVGzqe8U6R,1,credit_card,4,1014.75
xNba906m4TM1,1,credit_card,1,123.79
VEDSMTavbQwk,1,credit_card,5,146.51
DzNM8wrcMGFH,1,wallet,1,1521.75
NpJz7zF9U1ae,1,credit_card,6,87.3
mHyhzcUeLGj2,1,credit_card,2,947.72
StM5K4TLyrt5,1,credit_card,1,60.56
Q97dFuo1kaq9,1,credit_card,10,110.32
07j6mlMhSVtx,1,credit_card,3,818.35
kxa1InBj9gwP,1,credit_card,1,254.94
P5R6jr1qZdh4,1,credit_card,10,98.42
HqV5f8K2UYoA,1,credit_card,3,281.52
j5rwgECNf14O,1,credit_card,2,182.83
43It0OEHVyJe,1,credit_card,1,38.35
ddXx4T93MeaI,1,credit_card,2,107.01
NXDsEGbl1pUC,1,credit_card,8,376.61
MhDudBaAab78,1,wallet,1,298.17
XupzjrovQeez,1,wallet,1,163.1
YTztQOHlvuBg,8,voucher,1,120.04
xfXLgLbCo5BC,2,credit_card,1,166.71
gVMP1bPDg69L,1,wallet,1,97.19
9G9EHbafs7NW,1,credit_card,1,966.48
INolFarYfmEO,1,credit_card,3,50.88
LV0vJIDricq1,1,wallet,1,27.16
VtQvdStc00Xd,1,wallet,1,113.84
tOTdnjpI8Udp,1,credit_card,6,283.61
ebR5efLCCpiq,1,credit_card,1,242.59
YOKYMSjKRCMN,1,credit_card,8,580.07
57XZHymoJ10l,1,credit_card,1,38.51
yUz40ih0jYGt,1,credit_card,1,212.78
IeZYtitws7WU,1,credit_card,2,279.54
ZPkh9QhjG7SK,1,wallet,1,211.11
KJL5uJuZzKxr,1,wallet,1,192.92
SelY2hgVvruM,1,wallet,1,416.64
0QqNX4xLriht,2,voucher,1,1843.85
HNXQI2lmI4AR,1,wallet,1,247.64
C21fWds5zL0W,1,credit_card,7,107.82
00NEIdaOTIgn,1,voucher,1,137.01
XprtHqpLEddw,1,credit_card,3,358.53
ph9ImXx6aMjl,1,voucher,1,98.89
x0fzGpICAZ0w,1,credit_card,3,29.22
YUX432Je58GK,1,credit_card,1,203.99
C3u0OwYQ8nuP,1,credit_card,1,203.19
UaZKqhLFwRZP,1,credit_card,3,167.37
QOaNjVewOOTX,1,credit_card,1,44.82
lo8oje94TYb7,1,wallet,1,231.27
