product_id,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm
90K0C1fIyQUf,toys,491.0,19.0,12.0,16.0
qejhpMGGVcsl,watches_gifts,440.0,18.0,14.0,17.0
qUS5d2pEAyxJ,costruction_tools_garden,2200.0,16.0,16.0,16.0
639iGvMyv0De,toys,1450.0,68.0,3.0,48.0
1lycYGcsic2F,toys,300.0,17.0,4.0,12.0
TpFZIk33uyGn,toys,2800.0,16.0,31.0,39.0
Y0T4Ca4BXK8U,bed_bath_table,3975.0,46.0,12.0,43.0
IUykT5z5LcPW,toys,250.0,45.0,15.0,35.0
0UHKKyYmxWfq,toys,1200.0,30.0,23.0,30.0
MJ82dNJNiV7U,toys,1500.0,30.0,5.0,20.0
wdV7yJzaz3Su,toys,4338.0,17.0,12.0,14.0
V3ksL8RRt2uO,toys,350.0,21.0,22.0,22.0
vndXhZ66Bwpl,toys,500.0,16.0,12.0,22.0
2RxPIb6Sjlm1,toys,300.0,38.0,19.0,22.0
DXG0TFaZjGHO,toys,200.0,16.0,7.0,11.0
YCMS6jUWbEbe,toys,4000.0,45.0,20.0,100.0
CBuRjOln99hg,auto,350.0,20.0,15.0,15.0
tfgKHMdnTKpJ,toys,425.0,17.0,11.0,14.0
l0Q038BC2u3G,health_beauty,4200.0,30.0,10.0,20.0
V84ooqHQgeH2,toys,200.0,20.0,5.0,15.0
E9OiMOkPkNam,toys,335.0,17.0,11.0,16.0
aYw1jx6U0ZzQ,toys,300.0,27.0,25.0,27.0
kuUbPNBMgk7o,toys,2150.0,30.0,19.0,25.0
SESkOgF0nWnh,cool_stuff,1600.0,42.0,25.0,15.0
06Zem5ml9euJ,toys,175.0,17.0,6.0,13.0
ro08JPncYzLh,garden_tools,1650.0,30.0,22.0,30.0
lkPBqpnGNyKe,toys,650.0,36.0,15.0,25.0
saFIRNuu8V6H,toys,1500.0,20.0,30.0,30.0
uicu7Mpz6xlZ,toys,950.0,100.0,5.0,20.0
uCnShK796Rpb,toys,1700.0,28.0,14.0,22.0
tRV6VjdwdLAm,toys,1500.0,40.0,30.0,30.0
Hwaj6cncrjwO,toys,1300.0,30.0,30.0,30.0
YgnBaIterOVh,toys,2650.0,16.0,16.0,62.0
SLTlrWtcYt1m,toys,1750.0,37.0,22.0,40.0
yZJweQSasMAW,toys,350.0,19.0,19.0,13.0
kgF2KLJ8Ao3M,toys,107.0,7.0,7.0,10.0
8kUYWjdaVCxf,toys,250.0,41.0,2.0,29.0
QzAC1fDWMbmk,toys,100.0,11.0,11.0,11.0
R2u3pJSgF7Gr,toys,200.0,19.0,9.0,12.0
lSVmLWTOmgtw,toys,400.0,16.0,16.0,22.0
bDhxHlkU0GeF,toys,1100.0,22.0,21.0,16.0
MeFPAUcWfyAo,toys,1500.0,18.0,35.0,48.0
Mh5csf65CB6I,toys,900.0,28.0,29.0,12.0
hfEa3c65LTA2,toys,5950.0,20.0,20.0,20.0
Pb29t2XBfP6Q,furniture_decor,700.0,35.0,4.0,30.0
th6S1t44GAij,toys,1256.0,28.0,26.0,30.0
fUSMr8Wo77AI,toys,70.0,19.0,4.0,15.0
qI5i1mUxo5tX,fashion_shoes,400.0,29.0,7.0,16.0
AQRgJU930yvK,toys,5775.0,104.0,35.0,30.0
VCOwCoc0C3aj,toys,1200.0,30.0,4.0,20.0
f21OMkeWX2ZC,toys,30000.0,75.0,58.0,65.0
mKDM0qdFnNNd,toys,127.0,18.0,10.0,14.0
aZ1aneUqyncU,toys,125.0,19.0,5.0,11.0
ch26pynh9FL6,sports_leisure,1182.0,21.0,16.0,17.0
eTlPil30tvIn,toys,5950.0,20.0,30.0,80.0
DXG0TFaZjGHO,toys,200.0,16.0,7.0,11.0
htOWZMHmysDe,toys,14900.0,40.0,60.0,40.0
GJ4e2xEfaCmh,auto,75.0,17.0,8.0,13.0
EZlH1lJVfFqj,sports_leisure,1017.0,42.0,21.0,27.0
zTW2bowvLdj9,toys,100.0,19.0,2.0,19.0
VO111AOA1QIP,baby,550.0,50.0,10.0,50.0
mfq8n5MEY4eP,toys,378.0,21.0,14.0,14.0
TdryLJINHQ9O,toys,800.0,30.0,10.0,30.0
B2udqVNGe7sU,toys,300.0,30.0,15.0,15.0
IsLB3oNMsX7k,furniture_decor,8950.0,30.0,35.0,30.0
7IfEqKdKlG9j,toys,200.0,16.0,10.0,16.0
YG7qG1MQlhjp,toys,200.0,18.0,3.0,20.0
nS95HUh6SK36,bed_bath_table,1600.0,49.0,7.0,40.0
